	dúb		'dub

	duc		duk	// duc.to

	dúc		'duk	// dúc.til

	dul		duw
	dul	_	'duw

	dúl		'duw	// a.dúl.te.ro

	dum		du~
	dum	_	'du~

	dun		du~
	dun	_	'du~

%	duo	_	duU	// ár.duo, as.sí.duo

	dur		du4

	dus		dus
	dus	_	'dus
	dus	^S	duz

	dús		'dus	// in.dús.tri.a

	e		e
	e	_	I

	é		'E

	ê		'e

	ec		ek	// ec.ze.ma
	ec	_	'Ek

	ei		eI

	eis		eIs

	el		ew
	el	_	ew
	el	^.*_	EU

	em		e~	// em.bo.ra
	em	_	e~I
_	em	_	e~I	// em (prep.)

	en		e~

	êm		'e~

	ên		'e~

	er		e4
	er	_	'e4

	ér		'E4

	es		es
	es	_	Is
	es	^S	ez

	és		'Es
	és	^S	'Ez

	et		et
	et	_	'Et

	ét		'Et

	eu		eU

	ex		es	// TODO: eks, es
	ex	_	Eks
	ex	^c[ei]	e

	êx		'es	// êx.ta.se

	fa		fa
	fa	_	f6
%	fa		f6
	fa	^[mn]	f6

	fá		'fa

	fâ		'f6	// in.fâ.mia

	fã	_	f6~

	fac		fak	// fac.ção

	fai		faI

	fais		faIs

	fal		faw

	fam		f6~
	fam	_	f6~U

	fan		f6~	// fan.tás.ti.co

	fân		'f6~	// al.fân.de.ga

	fão	_	f6~U	// bu.fão

	far		fa4
	far	_	'fa4

	fár		'fa4

	fas		fas
	fas	_	f6s
	fas	^S	faz

	fás		'fas

	fau		faU	// fau.na

	faus		faUs	// faus.to

	fe		fe
	fe	_	fI

	fé		'fE

	fê		'fe

	fec		fek

	fei		feI
	fei	_	'feI

	feis		feIs
	feis	_	'feIs

	fel		few	// fel.tro

	fem		fe~
	fem	_	fe~I	// a.ba.fem

	fém		'fe~I	// re.fém

	fen		fe~
	fen	_	fe~I

	fer		fe4
	fer	_	'fe4

	fér		'fE4

	fes		fes
	fes	_	fIs
	fes	^S	fez

	feu		feU	// feu.do

	féu	_	'feU	// tro.féu

	fi		fi
	fi	_	'fi

	fí		'fi

%	fia	_	fi6	// má.fia

	fic		fik	// fic.ção

	fil		fiw

	fim		fi~
	fim	_	'fi~

	fím		'fi~

	fin		fi~
	fin	_	'fi~

	fín		'fi~

	fir		fi4
	fir	_	'fi4

	fis		fis
	fis	_	'fis
	fis	^S	fiz

	fís		'fis

	fla		fla	// in.fla.ma.tó.rio
	fla	_	fl6
%	fla		fl6
	fla	^[mn]	fl6

	flá		'fla

	flâ		'fl6

	flam		fla~
	flam	_	'fl6~U

	flan		fla~
	flan	_	'fl6~

	flar		fla4
	flar	_	'fla4	// in.flar

	flau		flaU
	flau	_	'flaU

	fle		fle
	fle	_	flI

	flé		'flE

	flê		'fle	// su.flê

	flei		fleI	// a.flei.ma
	flei	_	'fleI	// ca.mu.flei

	fler		fle4
	fler	_	'fle4

	fleu		fleU
	fleu	_	'fleU

	fli		fli
	fli	_	'fli

	flo		flo
	flo	_	flU

	fló		'flO

	flon		flo~
	flon	_	'flo~

	flor		flo4
	flor	_	'flo4

	flu		flu
	flu	_	'flu

	flú		'flu	// flú.or

	flui		fluI
	flui	_	'fluI

%	fluo	_	fluU	// su.pér.fluo

	fo		fo
	fo	_	fU

	fó		'fO

	fô		'fo

	foi		foI
	foi	_	'foI

	fol		fow
	fol	_	fOw

	fom		fo~	// al.fom.bra
	fom	_	'fo~

	fon		fo~	// fon.te
	fon	_	'fo~	// fon.te

	for		fo4
	for	_	'fo4

	fór		'fO4	// fór.ceps, fór.mi.ca

	fôr		'fo4

	fos		fos
	fos	_	fUs
	fos	^S	foz

	fós		'fOs	// fós.fo.ro
	fós	^	'fO

	fôs		'fos

	fou		foU
	fou	_	foU

	foz	_	'fOs	// fóz

	fra		f4a
	fra	_	f46
%	fra		f46
	fra	^[mn]	f46

	frá		'f4a

	frac		f4ak
	frac	_	'f4ak

	frag		f4ag
	frag	_	'f4ag

	fral		f4aw
	fral	_	'f4aw

	fram		f46~	// fram.bo.e.sa
	fram	_	'f46~U	// de.ci.fram

	fran		f46~
	fran	_	'f46~

	frân		'f46~

	frão		f46~U	// ci.frão.zi.nho
	frão	_	'f46~U	// ci.frão

	fras		f4as
	fras	_	f46s

	frar		f4a4
	frar	_	'f4a4

	frau		f4aU
	frau	_	'f4aU

	fre		f4e
	fre	_	f4I

	fré		'f4E

	frê		'f4e

	frei		f4eI
	frei	_	'f4eI

	frem		'f4e~	// de.ci.frem
	frem	_	'f4e~I

	fren		f4e~
	fren	_	'f4e~I

	frer		f4e4
	frer	_	'f4e4	// so.frer

	fres		f4es
	fres	_	f4Is
	fres	^S	f4ez

	fri		f4i
	fri	_	'f4i

	frí		'f4i

	fric		f4ik
	fric	_	'f4ik

	frim		f4i~
	frim	_	'f4i~	// chin.frim

	frin		f4i~	// in.frin.gir
	frin	_	'f4i~

	fro		f4o
	fro	_	f4U

	fror		f4o4
	fror	_	'fro4

	frô		'f4o~

	fron		f4o~
	fron	_	'f4o~

	frou		f4oU
	frou	_	'f4oU

	fru		f4u
	fru	_	'f4u

	frui		f4uI
	frui	_	'f4uI

	frus		f4us
	frus	_	'f4us
	frus	^S	fruz

	fu		fu
	fu	_	'fu

	fú		'fu	// fú.ne.bre, re.fú.gio

	ful		fuw
	ful	_	'fuw

	fúl		'fuw

	fun		fu~
	fun	_	'fu~

	fún		'fu~	// la.ti.fún.dio

	fur		fu4
	fur	_	'fu4

	fúr		'fu4

	fus		fus
	fus	_	'fus
	fus	^S	fuz

	ga		ga
	ga	_	g6
%	ga		g6
	ga	^[mn]	g6

	gá		'ga

	gâ		'g6	// or.gâ.ni.co, mo.no.gâ.mi.co

	gã		'g6~	// to.bo.gã

	gai		gaI
	gai	_	'gaI

	gais		gaIs
