Aarão	,aa*'&U~
Cachoeira	k,aSo'eI*&
Cachoeiras	k,aSo'eI*&s
Cachoeirinha	k,aSoeI*'in^&
Cachoeiro	k,aSo'eI*U
Cacimba	k,as'imb&
Cacimbas	k,as'imb&s
Cacimbinhas	k,asimb'in^&s
Cacique	k,as'iky
Cacoal	k,ako'aU
Caconde	k,ak'oNdZy
Caculé	k,akul'E
Caetano	k,aet'&~nU
Caetanos	k,aet'&~nUs
Caetanópolis	k,aet&n'Opolis
Caetité	k,aetSit'E
Caeté	k,aet'E
Caetés	k,aet'Es
Cafarnaum	k,afa*@-n'aUm
Cafeara	k,afe'a*&
Cafelândia	k,afel'&~NdZj&
Cafezal	k,afez'aU
Café	kaf'E
Caiabu	k,aI;ab'u
Caiana	k,aI;'&~n&
Caiapônia	k,aI;ap'onj&
Caibaté	k,aIbat'E
Caibi	kaIb'i
Caicos	k'aIkUs
Caicó	kaIk'O
Caieiras	k,aI;'eI*&s
Caiena	k,aI;'en&
Caimão	kaIm'&U~
Cairo	k'aI*U
Cairu	kaI*'u
Caitano	k,aIt'&~nU
Caiuá	kaIw'a
Caiçara	k,aIs'a*&
Cajamar	k,aZ&m'ar
Cajapió	k,aZapi;'O
Cajari	k,aZa*'i
Cajati	k,aZatS'i
Cajazeiras	k,aZaz'eI*&s
Cajazeirinhas	k,aZazeI*'in^&s
Cajobi	k,aZob'i
Cajueiro	k,aZu'eI*U
Cajuri	k,aZu*'i
Cajuru	k,aZu*'u
Caldas	k'aUd&s
Caldazinha	k,aUdaz'in^&
Caldeirão	k,aUdeI*'&U~
Caldéia	k,aUd'EI&
Caledônia	k,aled'onj&
Califórnia	k,alif'O*@-nj&
Calmon	kaUm'oN
Calumbi	k,alu~mb'i
Calvo	k'aUvU
Calçado	k,aUs'adU
Calçoene	k,aUso'eny
Camacan	k,&mak'&~N
Camacho	k,&m'aSU
Camalaú	k,&mala'u
Camamu	k,&m&~m'u
Camanducaia	k,&m&~Nduk'aI;&
Camapuã	k,&mapw'&~
Camaquã	k,&makw'&~
Camaragibe	k,&ma*aZ'iby
Camargo	k,&m'a*@-gU
Camarões	k,&ma*'o~js
Camaçari	k,&masa*'i
Cambará	k,&~mba*'a
Camberra	k,&~mb'Ex&
Cambira	k,&~mb'i*&
Cambodja	k,&~mb'odZ&
Camboja	k,&~mb'OZ&
Camboriú	k,&~mbo*i;'u
Cambuci	k,&~mbus'i
Cambucá	k,&~mbuk'a
Cambuquira	k,&~mbuk'i*&
Cambuí	k&~mbw'i
Cambé	k&~mb'E
Cametá	k,&met'a
Camila	k,&m'il&
Camocim	k,&mos'iN
