
//
// Conversão de ortografia em transcrição fonética, baseada em divisão silábica e expressão regular.
//
// Este é um exemplo de TSV que contém exatamente quatro campos, F1 a F4.
//
// F1: expressão regular da sílaba anterior
// F2: expressão regular da sílaba atual
// F3: expressão regular da sílaba posterior
// F4: a tradução da sílaba atual usando caracteres Kirshenbaum (influencia do espeak-ng), que serão no final ser convertidos em caracteres IPA ou SAMPA.
//
// Todo texto numa lina após duas barras é considerado um comentário e é, portanto, ignorado.
//
// Recomenda-se que os parágrafos tenham larguras equivalentes a 8 espaços.
//
// Se o F1 for "%", verifica se a sílaba atual é pós-tônica
// Se o F3 for "%", verifica se a sílaba atual é pré-tônica
//
// Se o F1 for "_", verifica se a sílaba atual é início de palavra
// Se o F3 for "_", verifica se a sílaba atual é fim de palavra
//
// Stress symbol `'` should be placed in the beginning of the syllable, not in the middle of the it (close to the vowel).
//
//
// Este arquivo inclui os ditongos crescentes pós-tônicos finais como: bac.té.ria, ci.ên.cia e á.guia, característicos da fala rápida. Nesses casos, evitar usar I ou U, por exemplo, em bac.té.ria, usar [4i6] em vez de [4I6], para causar dar uma sensação de hiato. No entanto, pode ser necessário atualizar as vozes mbrola.
//
// References:
//* https://pt.wiktionary.org/wiki/Ajuda:Guia_de_pron%C3%BAncia/Portugu%C3%AAs
//

	fós		'fOs	// fós.fo.ro,
	fós	^s	'fO	// fós.sil

	fou		foU

	foz	_	'fOs	// fóz

	fra		f4a
	fra	_	f46

	frá		'f4a

	frag		f4ag

	fral		f4aU

	fram		f46~	// fram.bo.e.sa
	fram	_	'f46~U	// de.ci.fram

	fran		f46~

	frão	_	'f46~U	// ci.frão

	fras		f4as
	fras	_	f46s
	fras	^s	f4a

	frar	_	'f4a4

	frau		f4aU

	fre		f4e
	fre	_	f4I

	frei		f4eI
	frei	_	'f4eI

	frem	_	'f4e~I	// de.ci.frem

	fren		f4e~

	fres		f4es
	fres	_	f4Is
	fres	^s	f4e

	fri		f4i
	fri	_	'f4i

	frí		'f4i

	fric		f4ik

	frin		f4i~	// in.frin.gir

	fro		f4o
	fro	_	f4U

	frô		'f4o~

	fron		f4o~

	frou		f4oU

	fru		f4u

	frui		f4uI
	frui	_	'f4uI

	frus		f4us

	fu		fu
	fu	_	'fu

	fú	_	'fu

	ful		fuU

	fun		fun

	fur		fu4
	fur	^r	fu

	fus		fus
	fus	_	'fus

	ga		ga
	ga	_	g6
	ga	^nh	g6~

	gá		'ga

	gai		gaI

	gais		gaIs

	gal		gaU
	gal	_	'gaU

	gam		g6~
	gam	_	g6~U

	gan		g6~

	gân		'g6~	// e.le.gân.ci.a

	gão	_	'g6~U
%	gão	_	g6~U

	gar		ga4
	gar	_	'ga4
	gar	^r	ga

	gas		gas
	gas	_	g6s
	gas	^s	ga

	gás		'gas
	gás	^s	'ga

	gaz	_	'gas

	ge		Ze
	ge	_	ZI

%	gea	_	Zi6	// drá.gea

	gé		'Ze

	gê		'Ze

	gei		ZeI
	gei	_	'ZeI

	gem	_	Ze~I

	gen		Ze~
	gen	_	Ze~I

	gên		'Ze~

	gens		Ze~Is	// vi.a.gens

	ger		Ze4
	ger	_	'Ze4

	ges		Zes
	ges	_	'ZIs
	ges	^s	Ze

	geu	_	'ZeU

	gi		Zi
	gi	_	'Zi

	gí		'Zi

	gia	_	Zi6

	gil		ZiU

	gim		Zi~

	gin		Zi~

	gín		'Zi~

%	gio	_	ZiU	// co.lé.gio, con.tá.gio

	gip		Zip
	gíp		'Zip	// e.gíp.ci.o

	gir		Zi4
	gir	_	'Zi4

	gis		Zis
	gis	_	'Zis
	gis	^s	Zi

	gís		'Zis
	gís	^s	'Zi

	giu		ZiU
	giu	_	'ZiU

	gla		gla
	gla	_	gl6

	glan		gl46~

	glau		glaU

	gli		Zli

	glo		glo
	glo	_	glU

	gló		'glO

	glu		glu
	glu	_	'glu

	glú		'glu

	gna		gna
	gna	_	gn6

	gná		'gna

	gnar		gnar
	gnar	_	'gnar

	gnas		gnas
	gnas	_	gn6s
	gnas	^s	gna

	gnás		gnas
	gnás	^s	gna

	gne		gne
	gne	_	gnI

	gni		gni

	gno		gno
	gno	_	gnU

	gnos		gnos
	gnos	_	gnUs

	go		go
	go	_	gU

	gó		'gO

	gô		'go

	goi		goI

	gol		goU

	gon		go~

	gor		go4
	gor	_	'go4
	gor	^r	go

	gos		gos
	gos	_	gUs
	gos	^	go

	gou		goU

	gra		g4a
	gra	_	g46

	grá		'g4a

	gram		g46~
	gram	_	g46~U

	gran		g46~

	grân		'g46~

	grar		g4ar
	grar	_	'g4ar

	gras		g4as
	gras	_	g46s
	gras	^s	g4a

	grás		'g4as
	grás	^s	'g4a

	grau	_	'g46U

	gre		g4e
	gre	_	g4I

	grei		g4eI
	grei	_	'g4eI

	gres		g4es
	gres	_	g4Is
	gres	^s	g4e

	gri		g4i
	gri	_	'g4i	// de.ne.gri

	grí		'g4i	// a.grí.co.la

	grin		g4i~

	grir	_	'g4i4	// de.ne.grir

	gro		g4o
	gro	_	g4U

	gros		g4o
	gros	_	g4Us
	gros	^s	g4o

	gru		g4u

	gu		gu
	gu	_	'gu	// Gu.gu, an.gu

	gua		gwa
	gua	_	gw6

	guá		'gwa

	guai		gwaI

	gual		gwaU	// i.gual.da.de
	gual	_	'gwaU	// i.gual

	guar		gwa4
	guar	_	'gwa4
	guar	^r	gwa

	guas		gwas
	guas	_	gw6s
	guas	^s	gwa

	gue		ge
	gue	_	gwI

á	gue	_	gwe	// á.gue (de água e v. em <guar>)
